Estado,Cidade,Gênero musical,Comentário contextual
Alabama,Muscle Shoals,Soul,Estúdio FAME com gravações lendárias de soul e R&B nos anos 1960
Alabama,Florence,Blues,Terra natal de W.C. Handy (conhecido como Pai do Blues)
Alabama,Montgomery,Country,Terra de Hank Williams (pioneiro da música country e do honky-tonk)
Califórnia,Los Angeles,Surf Rock,Cena do surf rock californiano nos anos 1960 (ex: The Beach Boys)
Califórnia,São Francisco,Rock psicodélico,Centro do rock psicodélico e do 'Verão do Amor' nos anos 1960
Califórnia,Los Angeles,Hip Hop (Costa Oeste),Berço do gangsta rap nos anos 1980-90 (cena de Compton)
Califórnia,São Francisco,Thrash Metal,Berço do thrash metal americano nos anos 1980 (Bay Area)
Califórnia,Bakersfield,Country (Som de Bakersfield),Estilo de country alternativo surgido nos anos 1950-60 (Buck Owens e Merle Haggard)
Flórida,Miami,Miami Bass,Hip hop dançante característico de Miami nos anos 1980
Flórida,Jacksonville,Southern Rock,Origem de bandas influentes do southern rock nos anos 1970 (ex: Lynyrd Skynyrd)
Flórida,Tampa,Death Metal,Polo do death metal nos EUA no final dos anos 1980 (cena de Tampa)
Geórgia,Atlanta,Hip Hop (Trap),Centro do hip hop sulista e do trap a partir dos anos 2000
Geórgia,Macon,Southern Rock,Sede da gravadora Capricorn nos anos 1970 (impulsionou o movimento southern rock)
Geórgia,Athens,Rock alternativo,Cena de rock alternativo universitário nos anos 1980 (ex: R.E.M. e The B-52's)
Geórgia,Augusta,Soul/Funk,Terra natal de James Brown (precursor do soul e do funk)
Havaí,Honolulu,Música havaiana,Sons do ukulele e da guitarra steel havaiana incorporados na cultura local
Illinois,Chicago,Blues,Capital do blues elétrico pós-guerra (Muddy Waters e a Chess Records)
Illinois,Chicago,House,Berço da house music nos clubes noturnos dos anos 1980
Illinois,Chicago,Jazz,Importante centro do jazz nos anos 1920 durante a Era do Jazz
Kentucky,Rosine,Bluegrass,Berço do bluegrass nos anos 1940 (Bill Monroe e seus Blue Grass Boys)
Luisiana,Nova Orleans,Jazz,Berço do jazz tradicional no início do século XX
Luisiana,Lafayette,Zydeco,Música cajun/zydeco de raízes franco-crioulas típica do sul da Luisiana
Luisiana,Nova Orleans,R&B,Cena de rhythm and blues dos anos 1950 que preparou o terreno para o rock 'n' roll
Michigan,Detroit,Soul (Motown),Berço do som Motown que dominou o R&B nos anos 1960
Michigan,Detroit,Techno,Berço do techno de Detroit nos anos 1980 (trio Belleville Three)
Minnesota,Minneapolis,Funk (Minneapolis Sound),Mistura de funk com pop e rock nos anos 1980 liderada por Prince
Mississípi,Clarksdale,Blues,Berço do blues do Delta e origem de lendas do blues como Robert Johnson
Missouri,Kansas City,Jazz,Cena vibrante de jazz e swing nos anos 1930 (era de Count Basie)
Missouri,St. Louis,Ragtime,Berço do ragtime no final do século XIX (Scott Joplin)
Nova York,Bronx (NYC),Hip Hop,Berço do hip hop nos anos 1970 (DJ Kool Herc e block parties no Bronx)
Nova York,Manhattan (NYC),Punk Rock,Cena pioneira do punk rock americano nos anos 1970 (CBGB e bandas como Ramones)
Nova York,Manhattan (NYC),Disco,Epicentro da disco music nos anos 1970 (clubes como o Studio 54)
Nova York,Harlem (NYC),Salsa,Surgimento da salsa 'nuyorquina' nos anos 1960-70 (Fania Records)
Ohio,Cleveland,Rock 'n' Roll,Cidade onde o termo 'rock and roll' foi popularizado nos anos 1950; sede do Rock & Roll Hall of Fame
Ohio,Dayton,Funk,Apelidada 'Land of Funk' por revelar diversas bandas de funk nos anos 1970
Oklahoma,Tulsa,Western Swing,Berço do western swing nos anos 1930 (Bob Wills e seus Texas Playboys)
Pensilvânia,Filadélfia,Soul,Som clássico do soul de Filadélfia nos anos 1970 (The Sound of Philadelphia)
Tennessee,Nashville,Country,Capital da música country americana (Grand Ole Opry e Music Row)
Tennessee,Memphis,Rock 'n' Roll,Berço do rock 'n' roll nos anos 1950 (Sun Studio e Elvis Presley)
Tennessee,Memphis,Soul,Som soul de Memphis nos anos 1960 (Stax Records e Otis Redding)
Texas,Austin,Outlaw Country,Movimento do country fora-da-lei nos anos 1970 (cenário de Willie Nelson em Austin)
Texas,San Antonio,Tejano,Fusão de música mexicana e americana (conjunto/tejano) fortemente presente no Texas
Texas,Dallas,Blues,Terra de guitarristas pioneiros do blues elétrico (ex: T-Bone Walker em Dallas)
Texas,Houston,Hip Hop,Estilo 'chopped and screwed' criado em Houston nos anos 1990 (DJ Screw)
Virgínia,Bristol,Country,Local das gravações pioneiras da música country em 1927 (Bristol Sessions)
Washington,Seattle,Grunge,Berço do grunge no final dos anos 1980 e início dos 90 (cena de Seattle)

